id,name,url
1,中华人民共和国固体废物污染环境防治法,http://www.mee.gov.cn/ywgz/fgbz/fl/202004/t20200430_777580.shtml
2,中华人民共和国清洁生产促进法,http://www.mee.gov.cn/ywgz/fgbz/fl/201904/t20190428_701287.shtml
3,中华人民共和国森林法,http://www.mee.gov.cn/ywgz/fgbz/fl/201904/t20190428_701280.shtml
4,中华人民共和国环境影响评价法,http://www.mee.gov.cn/ywgz/fgbz/fl/201901/t20190111_689247.shtml
5,中华人民共和国防沙治沙法,http://www.mee.gov.cn/ywgz/fgbz/fl/201811/t20181114_673626.shtml
6,中华人民共和国大气污染防治法,http://www.mee.gov.cn/ywgz/fgbz/fl/201811/t20181113_673567.shtml
7,中华人民共和国土壤污染防治法,http://www.mee.gov.cn/ywgz/fgbz/fl/201809/t20180907_549845.shtml
8,中华人民共和国海洋环境保护法,http://www.mee.gov.cn/ywgz/fgbz/fl/201805/t20180517_440477.shtml
9,中华人民共和国水污染防治法(2017年6月27日第二次修正),http://www.mee.gov.cn/ywgz/fgbz/fl/200802/t20080229_118802.shtml
10,中华人民共和国放射性污染防治法,http://www.mee.gov.cn/ywgz/fgbz/fl/200306/t20030628_85556.shtml
